module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,lens-feature-yaml,manage-feature-yaml,FY,Read/write feature.yaml files atomically,read,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,feature.yaml
Lens,lens-git-state,read-git-state,GS,Read branch commit and working tree state,feature-state,[--governance-dir] [--feature-id],anytime,,,false,,git state JSON
Lens,lens-git-orchestration,orchestrate-git,GO,Execute multi-step git workflows atomically,create-feature-branches,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,git operations log
Lens,lens-constitution,load-constitution,CO,Load governance rules and workflow defaults,resolve,[--governance-dir],anytime,,,false,,constitution YAML
Lens,lens-init-feature,init-feature,IF,Initialize a new feature with 2-branch topology and governance entries,create,<featureId> [--domain] [--service] --track <track> [--dry-run],anytime,,lens-next:suggest,false,,"feature.yaml, feature-index.yaml entry, git commands"
Lens,lens-init-feature,pull-context,PC,Pull cross-feature context (summaries deps constitution) for a feature,fetch-context,<featureId> [--governance-dir],anytime,lens-init-feature:create,,false,,context JSON
Lens,lens-next,next-action,NA,Resolve the one unblocked next command for the current feature and auto-delegate into it,suggest,[featureId] [--governance-dir],anytime,,,false,,delegated command or blocker report
Lens,lens-batch,batch,BT,Generate or resume a two-pass batch intake for the current planning target,run,[featureId] [--target <current|preplan|businessplan|techplan|finalizeplan|expressplan>],anytime,,,false,,{target}-batch-input.md or resumed planning target
Lens,lens-switch,switch-feature,FE,Switch the active Lens feature context,switch,<featureId> [--governance-dir],anytime,,,false,,context paths JSON
Lens,lens-switch,list-features,LF,List all features with status and staleness info,list,[--status] [--governance-dir],anytime,,,false,,features list JSON
Lens,lens-complete,complete-doc-check,CK,Run wrapped project documentation gate before archival,check-preconditions,<featureId> [--governance-dir],anytime,lens-finalizeplan:plan,lens-complete:finalize,false,,feature-scoped project docs
Lens,lens-complete,finalize-feature,FF,Confirm gate and archive a completed feature,finalize,<featureId> [--dry-run],anytime,lens-complete:check-preconditions,,false,,archived feature
Lens,lens-split-feature,validate-split,VS,Validate story IDs for splitting blocking on in-progress stories,validate-split,<featureId> --story-ids <ids> [--governance-dir],anytime,,lens-split-feature:create-split-feature,false,,validation JSON
Lens,lens-split-feature,split-feature,SL,Create a new feature from a subset of stories,create-split-feature,<featureId> --new-feature-id <id> --story-ids <ids> [--dry-run],anytime,lens-split-feature:validate-split,,false,,"new feature.yaml, index entry"
Lens,lens-split-feature,move-stories,MS,Move story files from source to split feature,move-stories,<source> --target <id> --story-ids <ids> [--dry-run],anytime,lens-split-feature:create-split-feature,,false,,moved story files
Lens,lens-discover,discover,DR,Sync TargetProjects with governance repo inventory,sync,[--headless|-H] [--dry-run],anytime,,,false,,repo inventory sync report
Lens,lens-complete,archive-status,AR,Check whether a feature has been archived,archive-status,<featureId> [--governance-dir],anytime,lens-complete:finalize,,false,,archive status JSON
Lens,lens-preflight,preflight,PK,Check prerequisites and workspace sync before governance operations,preflight,[--caller <name>] [--governance-path <path>],anytime,,,true,,preflight check results
Lens,lens-preflight,preflight-onboard,PO,Run preflight in onboard guidance mode with role-aware next steps,preflight,--caller onboard [--governance-path <path>],anytime,,,false,,preflight console output + next-step guidance
Lens,lens-preplan,preplan,QP,Run PrePlan phase — brainstorm research and product brief for a feature,plan,<featureId> [--mode interactive|batch],phase-1,lens-init-feature:create,lens-businessplan:plan,false,,"product-brief.md, research.md, brainstorm.md"
Lens,lens-businessplan,businessplan,LB,Run BusinessPlan phase — publish PrePlan context then hand off to native PRD or UX planning sessions,plan,<featureId> [--mode interactive|batch],phase-2,lens-preplan:plan,lens-techplan:plan,false,,"prd.md, ux-design.md"
Lens,lens-techplan,techplan,LT,Run TechPlan phase — publish BusinessPlan context then hand off to the native architecture session,plan,<featureId> [--mode interactive|batch],phase-3,lens-businessplan:plan,lens-finalizeplan:plan,false,,architecture.md
Lens,lens-adversarial-review,adversarial-review,RV,Run lifecycle adversarial review with a party-mode blind-spot challenge,review,<featureId> [--phase current|preplan|businessplan|techplan|finalizeplan|expressplan] [--source manual-rerun|phase-complete],anytime,,,false,,"preplan-adversarial-review.md, businessplan-adversarial-review.md, techplan-adversarial-review.md, finalizeplan-review.md, expressplan-adversarial-review.md"
Lens,lens-finalizeplan,finalizeplan,FZ,Run FinalizePlan phase — review bundled planning outputs and PR handoff for a feature,plan,<featureId> [--mode interactive|batch],phase-4,lens-techplan:plan,,false,,"finalizeplan-review.md, epics.md, stories.md, implementation-readiness.md, sprint-status.yaml, stories/"
Lens,lens-expressplan,expressplan,LE,Run ExpressPlan phase — QuickPlan via Lens wrapper then adversarial review then FinalizePlan,plan,<featureId> [--mode interactive|batch],phase-express,lens-init-feature:create,,false,,"business-plan.md, tech-plan.md, sprint-plan.md, expressplan-adversarial-review.md"
Lens,lens-setup,lens-setup,LS,Configure the local Lens module and help entries,configure,[--headless|-H],anytime,lens-preflight:preflight,lens-work-intake:start,false,_bmad/config.yaml;_bmad/module-help.csv,Lens config and help entries
Lens,lens-work-intake,work-intake,WI,Create a durable feature archive and local lifecycle handoff,start,"<title> [--related <feature-id>] [--track <track>]",intake,lens-preflight:preflight,lens-next:suggest,false,docs/features/<feature-id>,feature archive and handoff
Lens,lens-lifecycle,lifecycle,LC,Route validate or advance local NextLens feature lifecycle state,route,"<feature-id> [--phase <phase>]",lifecycle,lens-work-intake:start,lens-next:suggest,false,docs/features/<feature-id>/feature.yaml,lifecycle validation or transition
Lens,lens-doctor,doctor,LD,Check stable IDs parentage draft state links and projection readiness,doctor,[scope] [--include-drafts],doctor,lens-preflight:preflight,lens-map-audit:audit,true,_bmad-output/lens,lens doctor health report
Lens,lens-map-audit,map-audit,MA,Validate topology findings and produce a reviewable map audit report,audit,[scope] [--html],audit,lens-doctor:doctor,lens-projection-rebuild:rebuild,true,_bmad-output/lens,map audit findings report
Lens,lens-projection-rebuild,projection-rebuild,PR,Rebuild derived governance map JSON and Markdown from authored frontmatter,rebuild,[scope] [--include-drafts] [--force],projection,lens-map-audit:audit,lens-ledger-promotion:promote,true,_bmad-output/lens,derived governance map JSON and Markdown
Lens,lens-ledger-promotion,ledger-promotion,LP,Promote completed feature knowledge into living ledgers,promote,[feature-or-scope] [--apply],promotion,lens-projection-rebuild:rebuild,lens-salmon-impact:review,false,_bmad-output/lens,ledger promotion report and optional ledger updates
Lens,lens-salmon-impact,salmon-impact,SI,Trace upstream and downstream impact signals and classify recursive consistency risk,review,[origin-or-scope],impact,lens-ledger-promotion:promote,lens-topology-design:design,false,_bmad-output/lens,Salmon impact report
Lens,lens-topology-design,topology-design,TD,Create or update service domain and program topology decisions,design,[scope] [--apply],topology,lens-salmon-impact:review,lens-reporting-snapshot:snapshot,false,_bmad-output/lens,topology decision report
Lens,lens-reporting-snapshot,reporting-snapshot,RS,Produce read-only stakeholder status snapshots and ingestion JSON,snapshot,"[scope] [--format markdown,json]",reporting,lens-topology-design:design,,false,_bmad-output/lens,Markdown and JSON snapshot
Lens,lens-dev,dev,DV,Launch Dev phase — epic-level implementation loop with story management,implement,<featureId> [--epic],delegation,lens-finalizeplan:plan,,false,,implementation artifacts
Lens,lens-nextlens-bugfix,nextlens-bugfix,NB,Run one governed NextLens bugfix with required what happened/should/chat inputs optional Salmon metadata fresh branch delegation PR plus Doctor closeout evidence and bounded NextLens-repo changes under TargetProjects/nextlens/src/NextLens including new skills and install-surface updates when warranted,review,"<what happened> [--what-should-have-happened <summary>] [--chat-history <summary>]",dev,lens-dev:implement,,false,TargetProjects/nextlens/src/NextLens,"bug artifact path, working branch, PR URL, Doctor-backed closeout evidence, bounded implementation summary"
Lens,lens-bmad-skill,bmad-brainstorming,BBS,Run BMAD brainstorming with Lens governance context,brainstorming,<featureId>,preplan,,,false,feature.yaml.docs.path,brainstorming session
Lens,lens-bmad-skill,bmad-product-brief,BPF,Run BMAD product brief with Lens governance context,product-brief,<featureId>,preplan,,,false,feature.yaml.docs.path,product brief
Lens,lens-bmad-skill,bmad-domain-research,BDR,Run BMAD domain research with Lens governance context,domain-research,<featureId>,preplan,,,false,feature.yaml.docs.path,domain research
Lens,lens-bmad-skill,bmad-market-research,BMR,Run BMAD market research with Lens governance context,market-research,<featureId>,preplan,,,false,feature.yaml.docs.path,market research
Lens,lens-bmad-skill,bmad-technical-research,BTR,Run BMAD technical research with Lens governance context,technical-research,<featureId>,preplan,,,false,feature.yaml.docs.path,technical research
Lens,lens-bmad-skill,bmad-create-prd,BPR,Run BMAD create PRD with Lens governance context,create-prd,<featureId>,businessplan,,,false,feature.yaml.docs.path,prd
Lens,lens-bmad-skill,bmad-create-ux-design,BUX,Run BMAD create UX design with Lens governance context,create-ux-design,<featureId>,businessplan,,,false,feature.yaml.docs.path,ux design
Lens,lens-bmad-skill,bmad-create-architecture,BAR,Run BMAD create architecture with Lens governance context,create-architecture,<featureId>,techplan,,,false,feature.yaml.docs.path,architecture
Lens,lens-bmad-skill,bmad-create-epics-and-stories,BES,Run BMAD create epics and stories with Lens governance context,create-epics-and-stories,<featureId>,finalizeplan,,,false,feature.yaml.docs.path,"epics and stories"
Lens,lens-bmad-skill,bmad-check-implementation-readiness,BIR,Run BMAD implementation readiness with Lens governance context,check-implementation-readiness,<featureId>,finalizeplan,,,false,feature.yaml.docs.path,implementation readiness
Lens,lens-bmad-skill,bmad-sprint-planning,BSP,Run BMAD sprint planning with Lens governance context,sprint-planning,<featureId>,finalizeplan,,,false,docs/implementation-artifacts,sprint status
Lens,lens-bmad-skill,bmad-create-story,BST,Run BMAD create story with Lens governance context,create-story,<featureId>,finalizeplan,,,false,docs/implementation-artifacts,story files
Lens,lens-bmad-skill,bmad-quick-dev,BQD,Run BMAD quick dev with Lens governance context,quick-dev,<featureId>,dev,,,false,docs/implementation-artifacts,"spec and implementation"
Lens,lens-bmad-skill,bmad-code-review,BCR,Run BMAD code review with Lens governance context,code-review,<featureId>,dev,,,false,docs/implementation-artifacts,review findings
Lens,lens-upgrade,upgrade,UG,Migrate control repo schema to current version or route legacy branches to lens-migrate,upgrade,[--dry-run],anytime,,,false,,migration results
Lens,lens-new-domain,new-domain,ND,Register a new domain in the governance repo with domain.yaml and constitution scaffold,create-domain,[domain-name] [--dry-run],anytime,,lens-new-service:create-service,false,,"domain.yaml, constitutions/{domain}/constitution.md"
Lens,lens-new-service,new-service,NS,Register a new service under a domain with service.yaml and constitution scaffold,create-service,[--domain <domain>] [service-name] [--dry-run],anytime,lens-new-domain:create-domain,lens-init-feature:create,false,,"service.yaml, constitutions/{domain}/{service}/constitution.md"
Lens,lens-new-feature,new-feature,NF,Initialize a new feature with 2-branch topology governance entry and featureId confirmation,create,[feature-name] [--domain] [--service] [--track] [--feature-id],anytime,lens-new-service:create-service,lens-next:suggest,false,,"feature.yaml, feature-index.yaml entry, 2-branch topology, summary.md"
