module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,bmad-lens-feature-yaml,manage-feature-yaml,FY,Read/write feature.yaml files atomically,read,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,feature.yaml
Lens,bmad-lens-git-state,read-git-state,GS,Read branch commit and working tree state,feature-state,[--governance-dir] [--feature-id],anytime,,,false,,git state JSON
Lens,bmad-lens-git-orchestration,orchestrate-git,GO,Execute multi-step git workflows atomically,create-feature-branches,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,git operations log
Lens,bmad-lens-constitution,load-constitution,CO,Load governance rules and workflow defaults,resolve,[--governance-dir],anytime,,,false,,constitution YAML
Lens,bmad-lens-init-feature,init-feature,IF,Initialize a new feature with 2-branch topology and governance entries,create,<featureId> [--domain] [--service] --track <track> [--dry-run],anytime,,bmad-lens-next:suggest,false,,"feature.yaml, feature-index.yaml entry, git commands"
Lens,bmad-lens-init-feature,pull-context,PC,Pull cross-feature context (summaries deps constitution) for a feature,fetch-context,<featureId> [--governance-dir],anytime,bmad-lens-init-feature:create,,false,,context JSON
Lens,bmad-lens-next,next-action,NA,Resolve the one unblocked next command for the current feature and auto-delegate into it,suggest,[featureId] [--governance-dir],anytime,,,false,,delegated command or blocker report
Lens,bmad-lens-batch,batch,BT,Generate or resume a two-pass batch intake for the current planning target,run,[featureId] [--target <current|preplan|businessplan|techplan|finalizeplan|expressplan>],anytime,,,false,,{target}-batch-input.md or resumed planning target
Lens,bmad-lens-switch,switch-feature,FE,Switch the active Lens feature context,switch,<featureId> [--governance-dir],anytime,,,false,,context paths JSON
Lens,bmad-lens-switch,list-features,LF,List all features with status and staleness info,list,[--status] [--governance-dir],anytime,,,false,,features list JSON
Lens,bmad-lens-complete,complete-doc-check,CK,Run wrapped project documentation gate before archival,check-preconditions,<featureId> [--governance-dir],anytime,bmad-lens-finalizeplan:plan,bmad-lens-complete:finalize,false,,feature-scoped project docs
Lens,bmad-lens-complete,finalize-feature,FF,Confirm gate and archive a completed feature,finalize,<featureId> [--dry-run],anytime,bmad-lens-complete:check-preconditions,,false,,archived feature
Lens,bmad-lens-split-feature,validate-split,VS,Validate story IDs for splitting blocking on in-progress stories,validate-split,<featureId> --story-ids <ids> [--governance-dir],anytime,,bmad-lens-split-feature:create-split-feature,false,,validation JSON
Lens,bmad-lens-split-feature,split-feature,SL,Create a new feature from a subset of stories,create-split-feature,<featureId> --new-feature-id <id> --story-ids <ids> [--dry-run],anytime,bmad-lens-split-feature:validate-split,,false,,"new feature.yaml, index entry"
Lens,bmad-lens-split-feature,move-stories,MS,Move story files from source to split feature,move-stories,<source> --target <id> --story-ids <ids> [--dry-run],anytime,bmad-lens-split-feature:create-split-feature,,false,,moved story files
Lens,bmad-lens-discover,discover,DR,Sync TargetProjects with governance repo inventory,sync,[--headless|-H] [--dry-run],anytime,,,false,,repo inventory sync report
Lens,bmad-lens-complete,archive-status,AR,Check whether a feature has been archived,archive-status,<featureId> [--governance-dir],anytime,bmad-lens-complete:finalize,,false,,archive status JSON
Lens,bmad-lens-preflight,preflight,PK,Check prerequisites and workspace sync before governance operations,preflight,[--caller <name>] [--governance-path <path>],anytime,,,true,,preflight check results
Lens,bmad-lens-preflight,preflight-onboard,PO,Run preflight in onboard guidance mode with role-aware next steps,preflight,--caller onboard [--governance-path <path>],anytime,,,false,,preflight console output + next-step guidance
Lens,bmad-lens-preplan,preplan,QP,Run PrePlan phase — brainstorm research and product brief for a feature,plan,<featureId> [--mode interactive|batch],phase-1,bmad-lens-init-feature:create,bmad-lens-businessplan:plan,false,,"product-brief.md, research.md, brainstorm.md"
Lens,bmad-lens-businessplan,businessplan,LB,Run BusinessPlan phase — publish PrePlan context then hand off to native PRD or UX planning sessions,plan,<featureId> [--mode interactive|batch],phase-2,bmad-lens-preplan:plan,bmad-lens-techplan:plan,false,,"prd.md, ux-design.md"
Lens,bmad-lens-techplan,techplan,LT,Run TechPlan phase — publish BusinessPlan context then hand off to the native architecture session,plan,<featureId> [--mode interactive|batch],phase-3,bmad-lens-businessplan:plan,bmad-lens-finalizeplan:plan,false,,architecture.md
